,Culinaric,Safety,Culture,Landscape,Weather
Afghanistan,-0.02024861111111113,0.35575714285714294,0.15027941176470588,0.0,0.06741249999999999
Albania,0.1534158415841584,-0.011222222222222225,0.44115081967213116,0.9630000000000001,0.42179411764705876
Algeria,0.1732658947368421,0.037066101694915254,0.4109965116279069,0.9630000000000001,0.2112407407407407
Andorra,0.15754900662251656,-0.03624,0.46733448275862066,0.9630000000000001,0.42179411764705876
Angola,0.14876803797468355,0.08287317073170736,0.47972000000000004,0.9630000000000001,0.2523318181818181
Argentina,0.13812866043613706,3.00060276925718e-18,0.43739230769230775,0.9630000000000001,0.42179411764705876
Armenia,0.0846720930232558,0.2890142857142857,0.3399285714285714,0.0,0.9946
Australia,0.12609169139465876,-0.07928571428571429,0.43900256410256405,0.9630000000000001,0.28346842105263154
Austria,0.17457625,-0.11783157894736841,0.3172455445544554,0.9630000000000001,0.4511888888888891
Azerbaijan,0.0631190476190476,0.2890142857142857,0.3399285714285714,0.0,0.9946
Bahamas,0.14752362459546925,0.08065853658536587,0.502561111111111,0.9630000000000001,0.2523318181818181
Bahrain,0.15827704402515722,0.057242857142857165,0.49584655172413794,0.9630000000000001,0.23400833333333337
Bangladesh,0.14166007194244606,-0.061533333333333336,0.4899185185185184,0.9630000000000001,0.42179411764705876
Barbados,0.17723474320241692,0.038810869565217385,0.48936666666666656,0.9630000000000001,0.2523318181818181
Belarus,0.16089029411764705,0.10446521739130436,0.44088765432098764,0.9630000000000001,0.2523318181818181
Belgium,0.16473093093093094,-0.10676190476190477,0.47157432432432417,0.9630000000000001,0.4404388888888889
Belize,0.1465264331210191,0.08287317073170736,0.4821678571428571,0.9630000000000001,0.2523318181818181
Benin,0.1426741935483871,-0.046663636363636365,0.4643018518518518,0.9630000000000001,0.42179411764705876
Bhutan,0.09595688073394494,0.3116560000000001,0.5092821428571428,0.0,-0.135
Bolivia,0.13655592705167174,0.08287317073170736,0.5067949152542373,0.9630000000000001,0.2523318181818181
Botswana,0.12562020905923343,-0.05763428571428572,0.47280363636363637,0.9630000000000001,0.4363166666666667
Brazil,0.12617766990291263,0.023766666666666686,0.44075538461538466,0.9630000000000001,0.42179411764705876
Brunei,0.14628091872791518,-0.04382058823529413,0.4553581818181819,0.9630000000000001,0.42179411764705876
Bulgaria,0.14558673469387753,-0.03130882352941176,0.47846000000000005,0.9630000000000001,0.42179411764705876
Burundi,0.15934222222222222,0.07604523809523812,0.4864362068965517,0.9630000000000001,0.2523318181818181
Cambodia,0.1513090361445783,0.029119565217391306,0.48186229508196715,0.9630000000000001,0.2523318181818181
Cameroon,0.18848101265822786,0.05433658536585365,0.5094454545454545,0.9630000000000001,0.2523318181818181
Canada,0.15521531531531527,0.04502727272727274,0.4158465346534653,0.9630000000000001,0.31408
Chad,0.14334063860667634,0.015156338028169012,0.46088226950354605,0.9630000000000001,0.25735384615384616
Chile,0.13618526011560694,0.03844390243902439,0.46830666666666665,0.9630000000000001,0.2523318181818181
China,0.1864584,-0.06539761904761902,0.34952,0.9630000000000001,0.48175263157894743
Colombia,0.15907404129793512,0.052971428571428586,0.4662590163934425,0.9630000000000001,0.2523318181818181
Comoros,0.1467336569579288,0.08287317073170736,0.4821678571428571,0.9630000000000001,0.2523318181818181
Congo,0.17559978768577497,0.037066101694915254,0.44184939759036135,0.9630000000000001,0.2112407407407407
Croatia,0.14280805369127517,-0.043254285714285724,0.4403262295081967,0.9630000000000001,0.42179411764705876
Cuba,0.15017046153846153,0.08287317073170736,0.4770209677419354,0.9630000000000001,0.2523318181818181
Cyprus,0.143059477124183,-0.03130882352941176,0.471404054054054,0.9630000000000001,0.42179411764705876
Czechia,0.006920588235294139,0.3941,0.56462,0.0,0.9946
Denmark,0.15749087947882737,-0.10003589743589743,0.48041710526315784,0.9630000000000001,0.47619000000000006
Djibouti,0.1613187134502924,0.08151458333333336,0.46644655172413785,0.9630000000000001,0.22743043478260863
Dominica,0.1422378548895899,0.08287317073170736,0.4864362068965517,0.9630000000000001,0.2523318181818181
Ecuador,0.14872695652173915,0.07420697674418605,0.4821678571428571,0.9630000000000001,0.2523318181818181
Egypt,0.14057267267267268,0.08298139534883724,0.4684217948717949,0.9630000000000001,0.2523318181818181
Eritrea,0.13583577464788732,0.07604523809523812,0.44731093750000006,0.9630000000000001,0.2523318181818181
Estonia,0.15192598684210526,-0.016858333333333322,0.4539,0.9630000000000001,0.44527894736842116
Ethiopia,0.12512576530612246,0.08422553191489365,0.4601333333333333,0.9630000000000001,0.2523318181818181
Fiji,0.09420430463576158,-0.04274285714285714,0.4551035087719298,0.9630000000000001,0.42179411764705876
Finland,0.17098805460750854,-0.1439057142857143,0.4528472222222223,0.9630000000000001,0.47867999999999994
France,0.1586819209039548,-0.10774473684210525,0.4081765765765765,0.9630000000000001,0.3444222222222222
Gabon,0.12665972696245734,-0.03624,0.46732456140350875,0.9630000000000001,0.42179411764705876
Gambia,0.15477635135135134,-0.020634615384615394,0.41995060240963844,0.9630000000000001,0.33285
Georgia,0.2143048076923077,0.08358666666666666,0.49757058823529415,0.9472,-0.08585000000000001
Germany,0.14793258426966288,-0.043579069767441865,0.2765962962962963,0.9630000000000001,0.39439473684210524
Ghana,0.1564271028037383,0.07604523809523812,0.4880327586206896,0.9630000000000001,0.2523318181818181
Greece,0.12377572815533977,-0.03130882352941176,0.4282924050632912,0.9630000000000001,0.42179411764705876
Grenada,0.1664955089820359,0.07358222222222223,0.4622084745762712,0.9630000000000001,0.2523318181818181
Guatemala,0.1506085173501577,0.09634285714285717,0.4821678571428571,0.9630000000000001,0.2523318181818181
Guinea,0.17599151515151515,0.054667692307692306,0.3986579545454545,0.9630000000000001,0.19225357142857138
Guyana,0.18419833333333333,0.01017741935483871,0.455347619047619,0.9630000000000001,0.23801785714285714
Haiti,0.15358029411764704,0.06393260869565216,0.469184375,0.9630000000000001,0.18288399999999996
Honduras,0.14624242424242423,0.11761136363636365,0.4908614035087719,0.9630000000000001,0.2523318181818181
Hungary,0.14633050847457627,-0.047934210526315794,0.4206,0.9630000000000001,0.42179411764705876
Iceland,0.14488796296296297,0.08287317073170736,0.4458380952380952,0.9630000000000001,0.2766347826086956
India,0.14776215277777777,-0.1547285714285714,0.47880895522388056,0.9630000000000001,0.35218333333333324
Indonesia,0.1379347003154574,-0.037642105263157914,0.4859578947368421,0.9630000000000001,0.3487052631578947
Iran,0.10995987261146496,-0.10725111111111113,0.3378426829268293,0.9630000000000001,0.3719555555555555
Iraq,0.023354669260700393,0.07447037037037037,0.09765273972602741,0.9630000000000001,0.108028
Ireland,0.14238543689320388,-0.08932173913043476,0.37925294117647057,0.9630000000000001,0.42179411764705876
Israel,-0.021629787234042568,0.3308666666666667,0.43561142857142854,0.0,0.9946
Italy,0.18575652173913043,-0.053513157894736846,0.4466172839506172,0.9630000000000001,0.42179411764705876
Jamaica,0.17189680511182107,0.044569047619047626,0.5149446428571428,0.9630000000000001,0.2523318181818181
Japan,0.16506413994169095,0.01156585365853658,0.4250455172413793,0.9630000000000001,0.2871363636363636
Jordan,0.09079540229885058,0.10331666666666668,0.4531968253968254,0.9630000000000001,0.2831434782608696
Kazakhstan,0.14366496815286622,0.008797435897435892,0.40884933333333334,0.9630000000000001,0.42179411764705876
Kenya,0.15350875,0.07604523809523812,0.39629499999999995,0.9630000000000001,0.2523318181818181
Kiribati,0.1179849840255591,-0.041895000000000036,0.44794821428571424,0.9630000000000001,0.380561111111111
Kuwait,0.086718,0.0968,0.4596619047619047,0.9630000000000001,0.3127708333333334
Kyrgyzstan,0.2744916666666667,0.29862380952380957,0.5642875,0.0,-0.10410000000000001
Laos,0.15469006024096385,0.06019782608695655,0.495493220338983,0.9630000000000001,0.19969130434782603
Latvia,0.16529074074074077,0.08966046511627906,0.44587377049180316,0.9630000000000001,0.2850458333333333
Lebanon,0.1559996835443038,0.06786976744186048,0.44558095238095236,0.9630000000000001,0.2523318181818181
Liberia,0.15654904458598728,0.07604523809523812,0.4895561403508772,0.9630000000000001,0.2523318181818181
Libya,0.14148641975308643,0.08287317073170736,0.46723793103448275,0.9630000000000001,0.2523318181818181
Liechtenstein,0.13287281879194632,-0.03130882352941176,0.4579403508771929,0.9630000000000001,0.42179411764705876
Lithuania,0.1460013468013468,-0.016858333333333322,0.4218499999999999,0.9630000000000001,0.42494444444444446
Luxembourg,0.15651918238993712,-0.0687361111111111,0.4700765625,0.9630000000000001,0.42179411764705876
Madagascar,0.15375058479532164,0.08434222222222222,0.4911333333333333,0.9630000000000001,0.22743043478260863
Malawi,0.13042573289902282,-0.08207857142857143,0.496975,0.9630000000000001,0.42179411764705876
Malaysia,0.16424301470588235,-0.10136470588235291,0.5154803571428571,0.9630000000000001,0.42179411764705876
Maldives,0.164109426987061,0.08685,0.45179111111111103,0.9630000000000001,0.15214482758620687
Mali,0.16214423076923076,-0.02571578947368421,0.4540767441860464,0.9630000000000001,0.33285
Malta,0.16188031746031747,0.09362926829268292,0.4885,0.9630000000000001,0.2523318181818181
Mauritania,0.1691295010845987,-0.0022322033898305037,0.4204277108433735,0.9630000000000001,0.3044478260869564
Mauritius,0.17230747663551402,0.03011333333333334,0.4667018518518518,0.9630000000000001,0.2523318181818181
Mexico,0.09374264705882354,-0.03564117647058823,0.49472499999999997,0.9630000000000001,0.2945526315789473
Micronesia,0.13585384615384616,-0.013354285714285707,0.4821732142857143,0.9630000000000001,0.31125263157894734
Moldova,0.15337452830188678,0.07083333333333336,0.41353235294117646,0.9630000000000001,0.2523318181818181
Monaco,0.20080352564102563,0.07334750000000001,0.48295789473684203,0.9630000000000001,0.2523318181818181
Mongolia,0.1555972049689441,0.0743404761904762,0.46787068965517237,0.9630000000000001,0.2523318181818181
Montenegro,0.1646413043478261,0.10318571428571431,0.44163389830508476,0.9630000000000001,0.2523318181818181
Morocco,0.09295212765957447,0.031209090909090943,0.44145522388059705,0.9630000000000001,0.201795652173913
Mozambique,0.1330714285714286,-0.05763428571428572,0.46621228070175436,0.9630000000000001,0.42179411764705876
Myanmar,0.156355223880597,0.0765195652173913,0.4871894736842105,0.9630000000000001,0.22743043478260863
Namibia,0.007074999999999998,-0.0014000000000000123,0.6294000000000001,0.0,0.9946
Nepal,0.19435331230283912,0.03686829268292686,0.5067048387096774,0.9630000000000001,0.2523318181818181
Netherlands,0.162881072555205,-0.10120499999999999,0.4861739726027397,0.9630000000000001,0.45321578947368435
Nicaragua,0.15590648148148148,0.07420697674418605,0.4821678571428571,0.9630000000000001,0.2523318181818181
Niger,0.15731487341772155,0.07604523809523812,0.45630526315789466,0.9630000000000001,0.2523318181818181
Nigeria,0.1610542424242424,0.04191463414634147,0.44721230769230774,0.9630000000000001,0.42179411764705876
Norway,0.14587916666666667,-0.08465135135135135,0.4980027777777777,0.9630000000000001,0.47619000000000006
Oman,0.15109928825622776,-0.08894705882352938,0.49315094339622634,0.9630000000000001,0.4535944444444445
Pakistan,0.14541702127659573,-0.11056285714285712,0.4508711864406779,0.9630000000000001,0.42179411764705876
Palau,0.14620324675324675,0.06021666666666667,0.47399090909090913,0.9630000000000001,0.2523318181818181
Panama,0.16065761589403976,0.04073414634146341,0.4932999999999999,0.9630000000000001,0.2523318181818181
Paraguay,0.14731317365269458,0.07604523809523812,0.48078833333333326,0.9630000000000001,0.2523318181818181
Peru,0.1632647590361446,0.052971428571428586,0.5186499999999999,0.9630000000000001,0.2523318181818181
Philippines,0.14303840579710145,-0.04418823529411765,0.48999642857142856,0.9630000000000001,0.34780555555555553
Poland,0.1607905063291139,-0.08476750000000001,0.4271677419354839,0.9630000000000001,0.34408888888888883
Portugal,0.1673968847352025,-0.032408823529411775,0.40902702702702703,0.9630000000000001,0.3829789473684211
Qatar,0.1287696551724138,-0.05880285714285713,0.47280363636363637,0.9630000000000001,0.3808105263157895
Romania,0.1375973154362416,-0.00526,0.38690156249999996,0.9630000000000001,0.42179411764705876
Russia,0.11232713864306784,0.008797435897435892,0.4243761363636364,0.9630000000000001,0.3490444444444444
Rwanda,0.14894664031620553,0.037066101694915254,0.33501999999999993,0.9630000000000001,0.2112407407407407
Samoa,0.1275330128205128,-0.04029189189189188,0.4496035087719298,0.9630000000000001,0.42179411764705876
Senegal,0.18088652631578947,0.037066101694915254,0.4504588235294118,0.9630000000000001,0.2112407407407407
Serbia,0.15606349206349204,0.08287317073170736,0.4363683333333333,0.9630000000000001,0.2523318181818181
Seychelles,0.16341061946902652,0.07548723404255321,0.4442677966101695,0.9630000000000001,0.2523318181818181
Singapore,0.2135724137931035,0.05927727272727273,0.5833461538461537,0.9630000000000001,0.2845869565217392
Slovakia,0.13843219178082192,-0.0032971428571428587,0.4521366666666667,0.9630000000000001,0.42494444444444446
Slovenia,0.06299074074074072,0.1771125,0.4290666666666667,0.0,0.73655
Somalia,0.14494952076677317,0.08287317073170736,0.49088421052631576,0.9630000000000001,0.2523318181818181
Spain,0.18457426035502958,-0.10186363636363635,0.4143786666666667,0.9630000000000001,0.3150449999999999
Sudan,0.15833154574132494,0.07604523809523812,0.4821678571428571,0.9630000000000001,0.2523318181818181
Suriname,0.16211459227467812,-0.019277192982456143,0.45391494252873554,0.9630000000000001,0.33285
Sweden,0.16724062499999998,-0.08465135135135135,0.4848240506329113,0.9630000000000001,0.4945190476190477
Switzerland,0.16554736842105264,-0.09930857142857141,0.4046907692307693,0.9630000000000001,0.4363166666666667
Syria,0.11519461756373937,0.09580930232558141,0.38357820512820506,0.9630000000000001,0.2523318181818181
Tajikistan,0.13653639344262294,-0.03298421052631579,0.4870701754385964,0.9630000000000001,0.42179411764705876
Tanzania,0.15912926829268292,0.10417173913043479,0.4593157894736841,0.9630000000000001,0.22743043478260863
Thailand,0.17497217391304346,0.08042553191489363,0.5128903225806452,0.9630000000000001,0.2514625
Togo,0.15927238095238094,0.05128837209302325,0.4978137931034482,0.9630000000000001,0.2523318181818181
Tonga,0.10661986754966887,-0.04274285714285714,0.4566068965517241,0.9630000000000001,0.42179411764705876
Tunisia,0.14244756446991405,0.04099375,0.47421818181818176,0.9630000000000001,0.2523318181818181
Turkey,0.16176018808777426,0.08916666666666667,0.45736315789473675,0.9630000000000001,0.2523318181818181
Turkmenistan,0.04796585365853658,0.2890142857142857,0.5397,0.0,0.9946
Tuvalu,0.10914984894259816,-0.02606666666666665,0.43234833333333333,0.9630000000000001,0.380561111111111
Uganda,0.15798096676737158,0.0713088888888889,0.4320803278688524,0.9630000000000001,0.2523318181818181
Ukraine,0.12266011904761905,0.008797435897435892,0.40050659340659345,0.9630000000000001,0.3490444444444444
Uruguay,0.12965973597359734,-0.03130882352941176,0.4512783333333334,0.9630000000000001,0.42179411764705876
Uzbekistan,0.17381333333333332,0.0549404255319149,0.49469218749999994,0.9630000000000001,0.2523318181818181
Vanuatu,0.1461008658008658,-0.008572727272727277,0.4189530120481927,0.9630000000000001,0.3044478260869564
Venezuela,0.1391528358208955,0.03378666666666667,0.46557413793103447,0.9630000000000001,0.2855125
Vietnam,0.13596453488372093,0.03737333333333334,0.4024794520547945,0.9630000000000001,0.2523318181818181
Yemen,0.1409703821656051,0.0791093023255814,0.4657206896551724,0.9630000000000001,0.2523318181818181
Zambia,-0.05548648648648652,0.21331428571428573,0.5549,0.0,0.9946
Zimbabwe,0.1533826865671642,0.02071428571428569,0.5095774193548386,0.9630000000000001,0.2523318181818181
United Kingdom,0.2304251798561151,-0.12736086956521736,0.5177391304347827,0.0,0.0719625
USA,0.15125082304526746,-0.1759679012345679,0.41150431034482754,0.9472,-0.06571621621621623
